	domain	status	counts
0	72.167.255.126	False	1
1	abcnews.go.com	False	4
2	allafrica.com	False	11
3	app.com.pk	False	1
4	armenpress.am	False	3
5	arstechnica.com	False	2
6	artsbeat.blogs.nytimes.com	False	1
7	beta.dawn.com	False	1
8	biz.thestar.com.my	False	2
9	blog.sfgate.com	False	1
10	blogs.houstonpress.com	False	1
11	blogs.reuters.com	True	2
12	ca.reuters.com	False	1
13	canindia.com	False	2
14	cnsnews.com	False	6
15	dawn.com	False	4
16	dealbook.nytimes.com	False	1
17	economictimes.indiatimes.com	False	10
18	economix.blogs.nytimes.com	False	1
19	edition.cnn.com	False	4
20	en.rian.ru	False	6
21	en.trend.az	False	11
22	english.caixin.com	False	1
23	english.chosun.com	True	2
24	eon.businesswire.com	False	1
25	euobserver.com	False	2
26	expressindia.indianexpress.com	False	1
27	finance.yahoo.com	False	3
28	gossiponthis.com	True	1
29	gulfbusiness.com	False	1
30	harrisondaily.com	True	1
31	hosted.ap.org	False	2
32	in.reuters.com	False	11
33	jamaica-gleaner.com	True	1
34	jamaica-star.com	False	1
35	lab.southernlakesnewspapers.com	True	1
36	learning.blogs.nytimes.com	False	1
37	macdailynews.com	True	1
38	media.canberratimes.com.au	False	1
39	minnesota.publicradio.org	False	2
40	money.cnn.com	True	1
41	money.usnews.com	False	2
42	nbcpolitics.nbcnews.com	True	1
43	news.sky.com	False	1
44	news.xinhuanet.com	False	3
45	news.yahoo.com	False	22
46	newsandinsight.thomsonreuters.com	False	4
47	pakobserver.net	False	1
48	phys.org	False	4
49	reliefweb.int	False	4
50	sacramento.cbslocal.com	True	1
51	siouxcityjournal.com	True	1
52	static2.proactiveinvestors.co.uk	False	1
53	stream.marketwatch.com	False	1
54	stream.wsj.com	False	1
55	tech.fortune.cnn.com	False	1
56	techcrunch.com	False	3
57	thearcticsounder.com	True	1
58	thecaucus.blogs.nytimes.com	False	1
59	thechronicleherald.ca	True	1
60	thedroidguy.com	False	1
61	thestar.com.my	False	23
62	theweek.com	False	1
63	thinkprogress.org	False	1
64	timesofindia.indiatimes.com	False	19
65	togosite.com	True	1
66	tribune.com.pk	False	2
67	uk.reuters.com	False	7
68	usnews.nbcnews.com	True	1
69	www.3news.co.nz	False	7
70	www.4-traders.com	True	1
71	www.adelaidenow.com.au	False	4
72	www.adn.com	False	1
73	www.afaqs.com	True	1
74	www.airforcetimes.com	False	1
75	www.aljazeera.com	False	1
76	www.ameinfo.com	False	9
77	www.aps.dz	True	3
78	www.arkansasbusiness.com	True	1
79	www.armradio.am	True	1
80	www.asianews.it	True	1
81	www.asianewsnet.net	True	1
82	www.b92.net	False	1
83	www.bangkokpost.com	False	3
84	www.bbc.co.uk	False	3
85	www.bbc.co.uk	True	16
86	www.bernama.com	False	1
87	www.bignewsnetwork.com	False	2
88	www.biodieselmagazine.com	True	1
89	www.biologicaldiversity.org	True	1
90	www.biomassmagazine.com	True	1
91	www.bizjournals.com	False	1
92	www.bloomberg.com	False	11
93	www.bna.bh	True	2
94	www.bna.com	False	1
95	www.boiseweekly.com	False	1
96	www.breakingnews.ie	False	2
97	www.brecorder.com	False	1
98	www.bt.com.bn	False	1
99	www.buenosairesherald.com	True	2
100	www.businessghana.com	False	1
101	www.businessweek.com	False	1
102	www.calgaryherald.com	False	1
103	www.capitalfm.co.ke	False	1
104	www.cbc.ca	False	12
105	www.cbsnews.com	False	3
106	www.channelnewsasia.com	False	7
107	www.charlotteobserver.com	False	1
108	www.chicagotribune.com	False	1
109	www.chinapost.com.tw	False	8
110	www.chron.com	False	8
111	www.citytalk.fm	False	1
112	www.cleveland.com	False	1
113	www.cnn.com	False	8
114	www.colombopage.com	True	1
115	www.compasscayman.com	False	1
116	www.contracostatimes.com	False	6
117	www.courant.com	False	1
118	www.couriermail.com.au	False	2
119	www.courthousenews.com	False	1
120	www.csmonitor.com	False	3
121	www.daily-times.com	False	1
122	www.dailymail.co.uk	True	14
123	www.dailynews.lk	False	1
124	www.dailystar.com.lb	False	1
125	www.dailystar.com.lb	True	11
126	www.dailytimes.com.pk	False	1
127	www.dailytitan.com	False	1
128	www.dcnonl.com	False	1
129	www.domain-b.com	False	1
130	www.dominicantoday.com	False	1
131	www.dw.de	False	5
132	www.eenews.net	False	4
133	www.eonline.com	False	1
134	www.etravelblackboard.com	False	1
135	www.eveningecho.ie	False	1
136	www.fijitimes.com	False	5
137	www.fin24.com	False	2
138	www.foodsafetynews.com	False	1
139	www.fool.com	False	3
140	www.forbes.com	False	7
141	www.forbesadvocate.com.au	False	6
142	www.foxnews.com	False	8
143	www.france24.com	True	3
144	www.fronterasdesk.org	False	1
145	www.globalpost.com	False	2
146	www.globalsecurity.org	False	1
147	www.globaltimes.cn	True	1
148	www.globes.co.il	False	1
149	www.gmanetwork.com	False	2
150	www.google.com	False	7
151	www.guardian.co.uk	False	13
152	www.herald-citizen.com	False	1
153	www.heraldscotland.com	False	1
154	www.heraldstandard.com	False	1
155	www.hngn.com	True	1
156	www.huffingtonpost.com	False	4
157	www.ibtimes.co.uk	False	2
158	www.independent.co.uk	False	12
159	www.indianapolisrecorder.com	True	1
160	www.indianexpress.com	False	1
161	www.informationweek.com	False	1
162	www.iol.co.za	False	11
163	www.ipwatchdog.com	True	1
164	www.irishsun.com	False	1
165	www.irna.ir	True	2
166	www.israelnationalnews.com	True	5
167	www.jpost.com	False	16
168	www.jsonline.com	False	1
169	www.jta.org	False	1
170	www.karachinews.net	False	3
171	www.kashmirtimes.com	False	1
172	www.khaama.com	False	1
173	www.knoxnews.com	False	1
174	www.kolotv.com	False	1
175	www.ksl.com	False	1
176	www.kttc.com	False	1
177	www.kxlf.com	False	1
178	www.laht.com	True	2
179	www.lancasterguardian.co.uk	False	1
180	www.laramieboomerang.com	False	1
181	www.latimes.com	False	4
182	www.lefigaro.fr	True	4
183	www.livescience.com	False	2
184	www.lmfm.ie	False	1
185	www.marketrasenmail.co.uk	False	1
186	www.marketwatch.com	False	2
187	www.medicalnewstoday.com	False	1
188	www.menafn.com	True	4
189	www.miamiherald.com	False	23
190	www.midnimo.com	False	1
191	www.mmegi.bw	False	2
192	www.montrealgazette.com	False	3
193	www.myfoxny.com	False	1
194	www.nasdaq.com	False	3
195	www.nation.co.ke	False	4
196	www.nationmultimedia.com	True	8
197	www.natureworldnews.com	False	1
198	www.nbcnews.com	False	1
199	www.news.az	False	1
200	www.news.com.au	False	18
201	www.news24.com	False	11
202	www.newsandsentinel.com	False	1
203	www.newsday.co.tt	False	1
204	www.newsday.com	False	6
205	www.newvision.co.ug	False	1
206	www.niagaraadvance.ca	False	1
207	www.northqueenslandregister.com.au	False	2
208	www.novinite.com	True	3
209	www.npr.org	False	4
210	www.nst.com.my	False	1
211	www.nydailynews.com	True	2
212	www.nypost.com	False	6
213	www.nzherald.co.nz	False	9
214	www.ogj.com	False	1
215	www.oilvoice.com	False	1
216	www.orlandosentinel.com	False	1
217	www.palmbeachpost.com	False	1
218	www.panarmenian.net	True	7
219	www.pcmag.com	False	1
220	www.pehub.com	False	2
221	www.perthnow.com.au	False	2
222	www.philippinetimes.com	False	22
223	www.philly.com	False	2
224	www.piercecountyherald.com	False	1
225	www.politico.com	False	4
226	www.prnewswire.com	False	7
227	www.proactiveinvestors.com	False	1
228	www.queenslandcountrylife.com.au	False	1
229	www.rangefinderonline.com	False	1
230	www.redding.com	False	1
231	www.rediff.com	True	3
232	www.redorbit.com	False	1
233	www.renewablesbiz.com	False	1
234	www.republicoftogo.com	False	1
235	www.reuters.com	False	23
236	www.rferl.org	False	4
237	www.rtcc.org	False	2
238	www.rte.ie	False	2
239	www.salon.com	False	4
240	www.sbs.com.au	False	2
241	www.scmp.com	True	1
242	www.scotsman.com	False	3
243	www.seacoastonline.com	False	1
244	www.seattlepi.com	False	1
245	www.shanghaidaily.com	False	5
246	www.siliconindia.com	False	1
247	www.skynews.com.au	False	1
248	www.spiegel.de	True	1
249	www.sportingnews.com	False	1
250	www.startribune.com	False	3
251	www.state.gov	False	1
252	www.steelguru.com	False	1
253	www.stockandland.com.au	False	1
254	www.sun-sentinel.com	False	6
255	www.sungazette.com	False	1
256	www.sunjournal.com	False	1
257	www.suntimes.com	False	1
258	www.taipeitimes.com	True	2
259	www.techinasia.com	False	1
260	www.telegraph.co.uk	False	6
261	www.tennessean.com	False	1
262	www.thebahamasweekly.com	True	4
263	www.thefinancialexpress-bd.com	False	1
264	www.theglobeandmail.com	False	13
265	www.thehindu.com	False	5
266	www.thehindu.com	True	19
267	www.thehindubusinessline.com	False	1
268	www.thejakartapost.com	True	4
269	www.thelocal.se	False	1
270	www.themoscowtimes.com	False	3
271	www.thenews.com.pk	False	23
272	www.therepublic.com	False	2
273	www.thevoicebw.com	False	1
274	www.thisdaylive.com	False	4
275	www.timesofoman.com	False	1
276	www.today.com	False	1
277	www.trust.org	False	4
278	www.truth-out.org	True	1
279	www.unionleader.com	True	1
280	www.upi.com	False	17
281	www.usatoday.com	False	8
282	www.usnews.com	False	1
283	www.utilityproducts.com	False	1
284	www.vancouversun.com	False	1
285	www.voanews.com	False	4
286	www.wamda.com	False	1
287	www.washingtonpost.com	False	9
288	www.wcax.com	False	1
289	www.wftv.com	False	3
290	www.wired.com	False	1
291	www.woodtv.com	False	1
292	www.xe.com	False	8
293	www.ynetnews.com	False	2
294	www.zdnet.com	False	1
295	zeenews.india.com	False	6
296	zeenews.india.com	True	16
